sample	date	location	pool_size	all_reads
250107-BoDT-NAS	250107	BoDT	37	328894
250109-BoDT-NAS	250109	BoDT	48	243294
250113-BoDT-NAS	250113	BoDT	33	407678
250115-BoDT-NAS	250115	BoDT	58	857131
250116-BoDT-NAS	250116	BoDT	60	226099
250122-BoDT-NAS	250122	BoDT	37	534204
250123-BoDT-NAS	250123	BoDT	33	753766
250127-BoDT-NAS	250127	BoDT	44	817608
250129-BoDT-NAS	250129	BoDT	60	1238229
250204-BoDT-NAS	250204	BoDT	57	661238
250205-BoDT-NAS	250205	BoDT	33	165046
250212-BoDT-NAS	250212	BoDT	47	211685
