date	location	assignment	species	group	non_dedup_hv	dedup_hv	all_reads
250107	BoDT	Rhinovirus C56	Rhinovirus C	Rhinoviruses	18	16	328894
250109	BoDT	RSVB	RSV-B	Mononegavirales	2	2	243294
250113	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	4	3	407678
250113	BoDT	Rhinovirus A94	Rhinovirus A	Rhinoviruses	7	6	407678
250115	BoDT	Human coronavirus NL63	HCoV-NL63	Coronaviruses (seasonal)	19	14	857131
250116	BoDT	Human coronavirus NL63	HCoV-NL63	Coronaviruses (seasonal)	13	10	226099
250116	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	1	1	226099
250116	BoDT	RSVA	RSV-A	Mononegavirales	11	10	226099
250116	BoDT	Rhinovirus B101	Rhinovirus B	Rhinoviruses	1	1	226099
250123	BoDT	Human coronavirus HKU1	HCoV-HKU1	Coronaviruses (seasonal)	132	76	753766
250123	BoDT	Human coronavirus NL63	HCoV-NL63	Coronaviruses (seasonal)	2	2	753766
250123	BoDT	Rhinovirus C42	Rhinovirus C	Rhinoviruses	8	7	753766
250127	BoDT	HPIV4	HPIV4	Mononegavirales	3	3	817608
250127	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	8	8	817608
250127	BoDT	Rhinovirus A34	Rhinovirus A	Rhinoviruses	7	7	817608
250127	BoDT	Rhinovirus B37	Rhinovirus B	Rhinoviruses	28	27	817608
250129	BoDT	Human coronavirus 229E	HCoV-229E	Coronaviruses (seasonal)	7219	6008	1238229
250129	BoDT	Human coronavirus NL63	HCoV-NL63	Coronaviruses (seasonal)	3	3	1238229
250129	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	192	162	1238229
250129	BoDT	Rhinovirus C36	Rhinovirus C	Rhinoviruses	93	82	1238229
250129	BoDT	Rhinovirus C42	Rhinovirus C	Rhinoviruses	1	1	1238229
250204	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	3	3	661238
250204	BoDT	Rhinovirus C2	Rhinovirus C	Rhinoviruses	11	11	661238
250204	BoDT	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	Coronaviruses (SARS-CoV-2)	82	78	661238
250205	BoDT	Rhinovirus A34	Rhinovirus A	Rhinoviruses	1	1	165046
250212	BoDT	H1N1	H1N1	Influenza	2	2	211685
